timestamp,query_file,variant,arm,hint_combo,lat_ms,baseline_ms,speedup,pred_mu_ms,pred_sigma_ms,ok_base,ok_pred
1749132922,16c.sql,default,default,,11986.01,15680.55,0.7644,0.00,0.00,1,1
1749132936,16c.sql,gnimc,gnimc,"hashjoin,mergejoin,seqscan",12751.06,15680.55,0.8132,9377.61,2534.60,1,1
1749132949,16c.sql,full,imc5,"hashjoin,indexonlyscan,mergejoin,seqscan",12901.31,15680.55,0.8228,9160.46,1.08,1,1
1749132963,16d.sql,default,default,,6745.93,7389.70,0.9129,0.00,0.00,1,1
1749132978,16d.sql,gnimc,gnimc,"hashjoin,indexonlyscan,nestloop",14669.70,7389.70,1.9852,8925.38,2755.43,0,1
1749132992,16d.sql,full,imc4,"hashjoin,indexscan,nestloop",13218.47,7389.70,1.7888,9169.94,0.99,0,1
1749133307,17a.sql,default,default,,181475.51,133267.64,1.3617,0.00,0.00,0,1
1749133315,17a.sql,gnimc,gnimc,"hashjoin,mergejoin,seqscan",7437.36,133267.64,0.0558,9378.28,2672.41,1,1
1749133347,17a.sql,full,imc3,"mergejoin,seqscan",31065.02,133267.64,0.2331,9125.89,1.10,1,0
1749134344,16c.sql,default,default,,16589.19,15680.55,1.0579,0.00,0.00,0,1
1749134359,16c.sql,gnimc,gnimc,"hashjoin,mergejoin,seqscan",14086.07,15680.55,0.8983,9377.61,2534.60,1,1
1749134375,16c.sql,full,imc5,"hashjoin,indexonlyscan,mergejoin,seqscan",15380.97,15680.55,0.9809,9160.46,1.08,1,1
1749134388,16d.sql,default,default,,13258.75,7389.70,1.7942,0.00,0.00,0,1
1749134412,16d.sql,gnimc,gnimc,"hashjoin,indexonlyscan,nestloop",23149.80,7389.70,3.1327,8925.38,2755.43,0,1
1749134429,16d.sql,full,imc4,"hashjoin,indexscan,nestloop",16078.07,7389.70,2.1757,9169.94,0.99,0,1
1749134606,17a.sql,default,default,,176987.45,133267.64,1.3281,0.00,0.00,0,1
1749134615,17a.sql,gnimc,gnimc,"hashjoin,mergejoin,seqscan",7938.17,133267.64,0.0596,9378.28,2672.41,1,1
1749134652,17a.sql,full,imc3,"mergejoin,seqscan",36519.01,133267.64,0.2740,9125.89,1.10,1,0
1749134953,16c.sql,default,default,,18675.86,15680.55,1.1910,0.00,0.00,0,1
1749134972,16c.sql,gnimc,gnimc,"hashjoin,mergejoin,seqscan",17612.40,15680.55,1.1232,9377.61,2534.60,0,1
1749135005,16c.sql,full,imc5,"hashjoin,indexonlyscan,mergejoin,seqscan",31592.38,15680.55,2.0147,9160.46,1.08,0,0
