query,hint,latency_postgresql_seconds
11b/800c1315b5ccf69e10cdc3388f2890bc95ac57f1.sql,hint12,4.612451
8a/8a104.sql,hint41,9.802036
2b/2b146.sql,hint2,27.573196
6a/6a72.sql,hint31,18.803282
11a/3b0d83c205ce9e81132f9a593003e9a3c940c4cb.sql,hint23,9.023779000000001
2a/2a518.sql,hint11,9.529361999999999
9a/6887f00faa2a6b3f991ab05ba22e4e152fc632ec.sql,hint11,18.215973
1a/1a136.sql,hint23,22.65398
2c/2c8.sql,hint14,0.41636599999999996
2c/2c284.sql,hint41,1.321674
2b/2b165.sql,hint17,57.728148999999995
3a/3a351.sql,hint14,0.044543
9a/6480da393620669803e41fe49e3a719c5d58fc16.sql,hint35,6.464683
2a/2a838.sql,hint39,0.184618
2b/2b202.sql,hint18,0.267915
9b/04a330b62680d93cf1f4d31ae833a8b6c06ba1ea.sql,hint4,3.9910419999999998
11b/6d59193299e9cb865114552072ab34dcf33ae8df.sql,hint30,1.080139
9a/01ea9952ab8c0e3b9171aa3fc4c37e64b5d3cd8c.sql,hint34,3.691201
7a/7a100.sql,hint37,32.781026
9b/d5a47639533f00948ea287d99ddb81e57b728012.sql,hint7,2.209178
2b/2b49.sql,hint45,3.319013
6a/6a30.sql,hint11,2.415491
7a/7a75.sql,hint14,0.73612
2a/2a236.sql,hint16,46.201211
9b/e10c1facca267ce17b3097710ddfeb0a8e218634.sql,hint9,6.029211
9a/11aadeb8aafb8b088b4a71080892abba4e34acda.sql,hint29,0.483848
7a/7a167.sql,hint45,8.007121
1a/1a1046.sql,hint25,8.709588
1a/1a1034.sql,hint15,8.438206000000001
9a/f2ff5bf9998c71b97dc8899ec13d6c674b3bf4af.sql,hint43,35.977073
1a/1a2515.sql,hint31,35.239065000000004
1a/1a2879.sql,hint38,0.617823
2a/2a756.sql,hint24,2.603358
2a/2a160.sql,hint41,2.403933
9a/74bf62652aa48baf66cfda68284d7cdb0a395f35.sql,hint11,8.087083
7a/7a38.sql,hint14,1.152403
2c/2c67.sql,hint6,1.15712
9b/27eaec794cbb6dc10f08156c06e0990bde2e2d3c.sql,hint41,1.157818
8a/8a248.sql,hint13,1.9554580000000001
9b/fc59330168084ff4623cd70ad2a6313543916d07.sql,hint4,0.733566
2c/2c119.sql,hint2,19.799505
6a/6a111.sql,hint10,1.338554
8a/8a373.sql,hint35,2.522674
2a/2a658.sql,hint42,0.341325
2c/2c138.sql,hint15,10.01317
2b/2b338.sql,no_hint,1.2926
1a/1a200.sql,hint43,34.410464999999995
7a/7a39.sql,no_hint,46.154120999999996
11b/32526a59fc89a997b79988744bae9bf250ca6d44.sql,hint15,8.541086
2a/2a314.sql,hint12,12.716619000000001
7a/7a31.sql,hint16,15.271424999999999
10a/bce4a2b5f3eeed381dbe5b4cb1663d715bb4e4c8.sql,hint34,10.978200000000001
6a/6a218.sql,hint21,3.683927
9a/35cf443448eb4c287e36ca7874b8c95ae1fa6887.sql,hint19,8.967514
11b/9728f0196cb07892a445d95f53c726ef3c3c23fd.sql,hint7,5.962523
2a/2a718.sql,hint10,0.494958
1a/1a745.sql,hint38,0.330279
6a/6a464.sql,hint27,6.079049
2a/2a391.sql,hint8,26.374864000000002
2a/2a775.sql,hint44,17.602485
8a/8a288.sql,hint18,4.077705
6a/6a232.sql,hint14,1.8396430000000001
1a/1a1230.sql,no_hint,2.041435
6a/6a282.sql,hint46,3.271422
11b/139bf157bfc360b75ef02a376161b55a41d93e60.sql,hint37,37.410855000000005
9a/ddc206013d4da5c130f40a80dcd80a19ed4d60b0.sql,hint22,9.205371999999999
2a/2a711.sql,hint11,0.09941599999999999
9a/35cf443448eb4c287e36ca7874b8c95ae1fa6887.sql,hint20,12.634471
1a/1a1253.sql,hint43,20.793174999999998
2b/2b163.sql,hint37,43.616831
3a/3a729.sql,hint21,0.944083
8a/8a281.sql,hint5,3.786395
1a/1a2177.sql,hint28,19.38543
11b/6756d19799c370c78a4a36886e99c95dc67d53f7.sql,hint33,5.114298
10a/b8ea90d456beeab7d5041bc087e937a5aeed4990.sql,hint37,39.320147
6a/6a542.sql,hint35,4.678033
2a/2a42.sql,hint25,11.480126
8a/8a238.sql,hint21,2.848135
8a/8a337.sql,hint29,4.554482
9b/7536b4a4d15daf42e6cb491a5c401f15bc3bd647.sql,hint41,2.0640210000000003
2a/2a899.sql,hint12,15.404194
8a/8a221.sql,hint33,8.084628
3a/3a1171.sql,hint12,5.065798
1a/1a260.sql,hint25,19.708288
1a/1a1063.sql,hint43,29.006481
11a/a6f27e456f50538fac3f2e2560ce9abf3924d6fe.sql,hint12,7.735716
2c/2c187.sql,hint7,0.282928
11b/7eb225635f7aa34116ec46590abf2db0aa163412.sql,hint42,23.803518
